obs,btce_ETH_buy,btce_ETH_sell,btce_ETH_depth_bid,btce_ETH_depth_ask,K_bid,k_ask,k_time,k_bid_vol,k_ask_vol,uc_trans
1,0.0245,0.0244,7441.992129139999,6304.468463879999,0.024439,0.024577,2016-06-10 12:23:26,169.41,106.034,211000.0
2,0.0245,0.0244,7441.992129139999,6304.468463879999,0.024444,0.024577,2016-06-10 12:23:37,69.973,106.034,211000.0
3,0.0245,0.0244,7441.992129139999,6304.468463879999,0.024463,0.024577,2016-06-10 12:23:48,9.931,106.034,211000.0
4,0.0245,0.0244,7441.992129139999,6304.468463879999,0.024463,0.024577,2016-06-10 12:23:57,9.931,106.034,211000.0
5,0.0245,0.0244,7441.992129139999,6304.468463879999,0.024437,0.024577,2016-06-10 12:24:07,70.37,106.034,211000.0
6,0.0245,0.0244,7442.492129139999,6304.468463879999,0.024437,0.024577,2016-06-10 12:24:15,80.481,106.034,211000.0
7,0.0245,0.0244,7426.058479039999,6273.094620949999,0.024438,0.024572,2016-06-10 12:24:24,32.807,70.148,211000.0
8,0.0245,0.0244,7353.005096969999,6312.796544759999,0.024443,0.024555,2016-06-10 12:24:32,70.493,6.75,211000.0
9,0.0245,0.0244,7419.405216969999,6274.944364759999,0.02441,0.02455,2016-06-10 12:24:42,51.102,3.56,211000.0
10,0.0245,0.0244,7419.822766969999,6272.896544759999,0.024416,0.024545,2016-06-10 12:24:51,70.597,3.56,211000.0
11,0.0245,0.0244,7419.822766969999,6312.796544759999,0.024416,0.024545,2016-06-10 12:24:59,91.594,3.56,211000.0
12,0.0245,0.0244,7433.838904619999,6297.215506199999,0.024443,0.024584,2016-06-10 12:25:09,20.997,145.714,211000.0
13,0.0245,0.0244,7465.6938312799975,6299.982921309999,0.024448,0.024584,2016-06-10 12:25:17,70.117,145.714,211000.0
14,0.0245,0.0244,7453.579061279997,6299.982921309999,0.024448,0.024584,2016-06-10 12:25:26,91.128,145.714,211000.0
15,0.0245,0.0244,7453.579061279997,6299.982921309999,0.024454,0.024584,2016-06-10 12:25:34,70.087,145.714,211000.0
16,0.0245,0.0244,7453.579061279997,6299.982921309999,0.024454,0.024584,2016-06-10 12:25:42,70.087,145.714,211000.0
17,0.0245,0.0244,7453.579061279997,6299.982921309999,0.024454,0.024584,2016-06-10 12:25:51,70.087,145.714,211000.0
18,0.0245,0.0244,7453.579061279997,6299.982921309999,0.024454,0.024584,2016-06-10 12:26:00,70.087,145.714,211000.0
19,0.0245,0.0244,7453.579061279997,6299.982921309999,0.024454,0.024584,2016-06-10 12:26:09,70.087,145.714,211000.0
20,0.0245,0.0244,7453.579061279997,6299.982921309999,0.024411,0.024584,2016-06-10 12:26:18,72.61,145.714,211000.0
21,0.0245,0.0244,7453.579061279997,6299.982921309999,0.024469,0.024584,2016-06-10 12:26:28,70.417,145.714,211000.0
22,0.0245,0.0244,7453.579061279997,6299.982921309999,0.024441,0.024584,2016-06-10 12:26:38,69.922,145.714,211000.0
23,0.0245,0.0244,7453.579061279997,6299.982921309999,0.024441,0.024584,2016-06-10 12:26:48,69.922,145.714,211000.0
24,0.0245,0.0244,7453.579061279997,6299.982921309999,0.024447,0.024584,2016-06-10 12:26:56,69.919,145.714,211000.0
25,0.0245,0.0244,7453.579061279997,6299.982921309999,0.024448,0.024584,2016-06-10 12:27:07,164.352,145.714,211000.0
26,0.0245,0.0244,7453.579061279997,6264.811135699999,0.024453,0.024584,2016-06-10 12:27:15,91.398,145.714,211000.0
27,0.0245,0.0244,7453.579061279997,6301.031354509999,0.024459,0.024584,2016-06-10 12:27:25,70.496,145.714,211000.0
28,0.0245,0.0244,7453.579061279997,6301.031354509999,0.024459,0.024584,2016-06-10 12:27:34,70.496,145.714,211000.0
29,0.0245,0.0244,7453.579061279997,6301.031354509999,0.024442,0.024584,2016-06-10 12:27:43,171.57,145.714,211000.0
30,0.0245,0.0244,7453.579061279997,6301.031354509999,0.024447,0.024584,2016-06-10 12:27:52,70.065,145.714,211000.0
31,0.0245,0.0244,7453.579061279997,6301.031354509999,0.024448,0.024584,2016-06-10 12:28:00,149.54,145.714,211000.0
32,0.0245,0.0244,7439.393072119998,6303.046845059999,0.024458,0.024584,2016-06-10 12:28:12,70.145,107.714,211000.0
33,0.0245,0.0244,7439.393072119998,6303.046845059999,0.024469,0.024584,2016-06-10 12:28:22,70.136,107.714,211000.0
34,0.0245,0.0244,7439.393072119998,6303.046845059999,0.024469,0.024584,2016-06-10 12:28:31,70.136,107.714,211000.0
35,0.0245,0.0244,7438.182514569999,6303.046845059999,0.024442,0.024584,2016-06-10 12:28:41,177.83,107.714,211000.0
36,0.0245,0.0244,7438.182514569999,6303.046845059999,0.024447,0.024584,2016-06-10 12:28:49,70.074,107.714,211000.0
37,0.0245,0.0244,7438.182514569999,6303.046845059999,0.024448,0.024584,2016-06-10 12:28:59,192.436,107.714,211000.0
38,0.0245,0.0244,7438.182514569999,6303.046845059999,0.024454,0.024584,2016-06-10 12:29:07,155.33,107.714,211000.0
39,0.0245,0.0244,7438.182514569999,6303.046845059999,0.024476,0.024584,2016-06-10 12:29:16,171.26,107.714,211000.0
40,0.0245,0.0244,7371.428460299998,6302.946845059999,0.024441,0.024582,2016-06-10 12:29:25,91.389,173.613,211000.0
41,0.0245,0.0244,7438.246130299998,6303.046845059999,0.024441,0.02458,2016-06-10 12:29:34,91.389,176.634,211000.0
42,0.0245,0.0244,7438.246130299998,6303.046845059999,0.024441,0.02458,2016-06-10 12:29:42,91.389,176.634,211000.0
43,0.0245,0.0244,7438.246130299998,6303.046845059999,0.024441,0.024578,2016-06-10 12:29:50,91.389,157.798,211000.0
44,0.0245,0.0244,7438.246130299998,6303.046845059999,0.024441,0.024578,2016-06-10 12:30:00,91.389,157.798,211000.0
45,0.0245,0.0244,7438.293594709998,6303.046845059999,0.024441,0.024576,2016-06-10 12:30:10,91.389,147.491,211000.0
46,0.0245,0.0244,7438.293594709998,6304.095278259999,0.024441,0.024576,2016-06-10 12:30:18,91.389,147.491,211000.0
47,0.0245,0.0244,7438.293594709998,6304.095278259999,0.024441,0.024576,2016-06-10 12:30:27,91.389,147.491,211000.0
48,0.0245,0.0244,7438.279173669998,6304.095278259999,0.024441,0.024576,2016-06-10 12:30:37,91.389,147.491,211000.0
49,0.0245,0.0244,7438.279173669998,6304.095278259999,0.024441,0.024602,2016-06-10 12:30:46,91.389,150.334,211000.0
50,0.0245,0.0244,7438.279173669998,6304.095278259999,0.024452,0.024602,2016-06-10 12:30:54,70.215,150.334,211000.0
51,0.0245,0.0244,7435.154892089999,6304.095278259999,0.024452,0.0246,2016-06-10 12:31:03,70.215,163.662,211000.0
52,0.0245,0.0244,7435.154892089999,6304.095278259999,0.024441,0.0246,2016-06-10 12:31:12,70.134,163.662,211000.0
53,0.0245,0.0244,7435.154892089999,6304.095278259999,0.024441,0.024598,2016-06-10 12:31:21,70.134,144.826,211000.0
54,0.0245,0.0244,7435.154892089999,6304.095278259999,0.024441,0.024571,2016-06-10 12:31:30,70.134,9.36,211000.0
55,0.0245,0.0244,6435.15489209,6302.40648083,0.024441,0.024598,2016-06-10 12:31:38,70.134,144.826,211000.0
56,0.0245,0.0244,6435.650597010001,6302.40648083,0.024448,0.024597,2016-06-10 12:31:46,32.819,163.662,211000.0
57,0.0245,0.0244,6434.540967010002,6304.053153869999,0.024453,0.024628,2016-06-10 12:31:56,70.048,147.491,211000.0
58,0.0245,0.0244,6390.340967010001,6304.053153869999,0.024485,0.024628,2016-06-10 12:32:05,69.976,157.028,211000.0
59,0.0245,0.0244,6434.540967010002,6304.053153869999,0.024441,0.024626,2016-06-10 12:32:14,70.482,151.578,211000.0
60,0.0245,0.0244,6434.540967010002,6304.053153869999,0.024441,0.024624,2016-06-10 12:32:23,70.482,138.073,211000.0
61,0.0245,0.0244,6434.540967010002,6301.6801150599995,0.024442,0.024622,2016-06-10 12:32:32,84.406,142.515,211000.0
62,0.02449,0.0244,6434.5813437100005,6252.121993889999,0.024408,0.024564,2016-06-10 12:32:40,58.47,145.27,211000.0
63,0.02449,0.0244,6434.5813437100005,6298.27356069,0.024414,0.024554,2016-06-10 12:32:48,56.59,70.519,211000.0
64,0.02449,0.0244,6434.5813437100005,6298.27356069,0.02442,0.024554,2016-06-10 12:32:58,56.59,70.519,211000.0
65,0.02449,0.0244,6434.5813437100005,6298.27356069,0.024465,0.024554,2016-06-10 12:33:08,20.969,70.519,211000.0
66,0.02449,0.0244,6434.5813437100005,6298.27356069,0.02447,0.024554,2016-06-10 12:33:16,70.541,70.519,211000.0
67,0.02449,0.0244,6434.5813437100005,6298.27356069,0.024425,0.024554,2016-06-10 12:33:25,90.869,70.519,211000.0
68,0.02449,0.0244,6416.448245040001,6306.3246933599985,0.024425,0.024554,2016-06-10 12:33:34,90.869,70.519,211000.0
69,0.02449,0.0244,6416.640325040002,6299.12469336,0.024425,0.024525,2016-06-10 12:33:45,90.869,70.214,211000.0
70,0.02449,0.0244,6417.140325040002,6309.425593359999,0.024425,0.024525,2016-06-10 12:33:54,90.869,70.214,211000.0
71,0.02449,0.0244,6417.140325040002,6309.425593359999,0.024425,0.024525,2016-06-10 12:34:02,90.869,70.214,211000.0
72,0.02449,0.0244,6417.140325040002,6309.425593359999,0.024425,0.024525,2016-06-10 12:34:10,90.869,70.214,211000.0
73,0.02449,0.0244,6417.140325040002,6309.425593359999,0.024425,0.024525,2016-06-10 12:34:19,90.869,70.214,211000.0
74,0.0245,0.0244,6759.48406667,6172.721846559999,0.024425,0.024525,2016-06-10 12:34:28,90.869,70.214,211000.0
75,0.0245,0.0244,6826.3017366700005,6309.42559336,0.024425,0.024525,2016-06-10 12:34:36,90.869,70.214,211000.0
76,0.0245,0.0244,6826.279027650002,6309.42559336,0.024425,0.024525,2016-06-10 12:34:44,90.869,70.214,211000.0
77,0.0245,0.0244,6417.175091910001,6309.42559336,0.024425,0.024525,2016-06-10 12:34:53,90.869,70.214,211000.0
78,0.0245,0.0244,6417.175091910001,6309.42559336,0.024425,0.024525,2016-06-10 12:35:02,90.869,70.214,211000.0
79,0.0245,0.0244,6417.175091910001,6309.42559336,0.024425,0.02449,2016-06-10 12:35:10,90.869,161.17,211000.0
80,0.0245,0.0244,6417.175091910001,6309.42559336,0.024425,0.024485,2016-06-10 12:35:20,90.869,70.423,211000.0
81,0.0245,0.0244,6417.10966801,6309.42559336,0.024425,0.024485,2016-06-10 12:35:30,90.869,70.423,211000.0
82,0.0245,0.0244,6417.10966801,6309.42559336,0.024425,0.024485,2016-06-10 12:35:41,90.869,70.423,211000.0
