obs,btce_ETH_buy,btce_ETH_sell,btce_ETH_depth_bid,btce_ETH_depth_ask,K_bid,k_ask,k_time,k_bid_vol,k_ask_vol,uc_trans
29,0.02376,0.02364,8986.067054809995,2025.4101307899998,0.023671,0.0237,2016-06-11 09:01:15,71.528,4.7,211000.0
30,0.02376,0.02364,8985.988168669996,2025.4101307899998,0.023671,0.0237,2016-06-11 09:01:24,71.528,4.7,211000.0
31,0.02376,0.02364,8981.800127859997,2025.4101307899998,0.023671,0.0237,2016-06-11 09:01:33,71.528,4.7,211000.0
32,0.02375,0.02364,8981.800127859997,2017.4710446,0.023671,0.0237,2016-06-11 09:01:40,71.528,4.7,211000.0
33,0.02374,0.02364,8981.800127859997,2017.4710446,0.023671,0.0237,2016-06-11 09:01:49,71.528,4.7,211000.0
34,0.02374,0.02364,8981.800127859997,2017.4710446,0.023671,0.0237,2016-06-11 09:01:57,71.528,4.7,211000.0
35,0.02374,0.02364,8981.800127859997,2017.4710446,0.023671,0.0237,2016-06-11 09:02:04,71.528,4.7,211000.0
36,0.02374,0.02364,8981.800127859997,2017.4710446,0.023671,0.0237,2016-06-11 09:02:12,71.528,4.7,211000.0
37,0.02374,0.02364,8981.800127859997,2017.4710446,0.023671,0.0237,2016-06-11 09:02:21,71.528,4.7,211000.0
38,0.02374,0.02364,8981.800127859997,2018.01562043,0.023677,0.0237,2016-06-11 09:02:29,71.745,4.7,211000.0
39,0.02374,0.02364,8982.842604279997,2017.4710446,0.023683,0.0237,2016-06-11 09:02:37,71.56,4.7,211000.0
40,0.02374,0.02364,8982.842604279997,2017.4710446,0.023679,0.0237,2016-06-11 09:02:45,42.014,4.7,211000.0
41,0.02374,0.02364,8982.842604279997,2017.4710446,0.023678,0.0237,2016-06-11 09:02:54,42.016,4.7,211000.0
42,0.02374,0.02364,8981.780334249996,2016.3910445999998,0.023683,0.0237,2016-06-11 09:03:02,71.791,4.7,211000.0
43,0.02375,0.02364,8981.780334249996,2016.3910445999998,0.023684,0.0237,2016-06-11 09:03:10,42.005,4.7,211000.0
44,0.02375,0.02364,8981.780334249996,2016.3910445999998,0.023685,0.0237,2016-06-11 09:03:18,42.003,4.7,211000.0
45,0.02375,0.02364,8981.780334249996,2016.3910445999998,0.023678,0.0237,2016-06-11 09:03:27,42.016,4.7,211000.0
46,0.02375,0.02364,8982.850572269996,2016.3910445999998,0.023689,0.0237,2016-06-11 09:03:35,41.996,4.7,211000.0
47,0.02375,0.02364,8981.770405529996,2016.3910445999998,0.02369,0.0237,2016-06-11 09:03:43,41.994,4.7,211000.0
48,0.02375,0.02364,8982.852195579995,2016.3910445999998,0.02369,0.0237,2016-06-11 09:03:52,41.994,4.7,211000.0
49,0.02375,0.02364,8982.852195579995,2016.3910445999998,0.023677,0.0237,2016-06-11 09:04:01,42.017,4.7,211000.0
50,0.02375,0.02364,9025.450119089995,1988.9528796899997,0.023683,0.0237,2016-06-11 09:04:09,42.007,4.7,211000.0
51,0.02375,0.02364,9025.450119089995,1988.9528796899997,0.023683,0.0237,2016-06-11 09:04:17,42.007,4.7,211000.0
52,0.02375,0.02364,9025.450119089995,1988.9528796899997,0.023672,0.0237,2016-06-11 09:04:25,42.026,4.7,211000.0
53,0.02375,0.02364,9025.450119089995,1988.9528796899997,0.023671,0.0237,2016-06-11 09:04:34,71.925,4.7,211000.0
54,0.02375,0.02364,9025.450119089995,1988.9528796899997,0.023671,0.0237,2016-06-11 09:04:42,71.925,4.7,211000.0
55,0.02375,0.02364,9025.450119089995,1988.9528796899997,0.023666,0.0237,2016-06-11 09:04:50,845.095,23.973,211000.0
56,0.02375,0.02364,9025.450119089995,1988.9528796899997,0.023676,0.0237,2016-06-11 09:04:58,71.902,23.973,211000.0
57,0.02375,0.02364,9024.450119089995,1988.9528796899997,0.023671,0.0237,2016-06-11 09:05:06,71.909,23.973,211000.0
58,0.02375,0.02364,9023.950119089995,1988.9528796899997,0.023666,0.0237,2016-06-11 09:05:14,845.095,23.973,211000.0
59,0.02375,0.02364,9023.960484429996,1990.9744256999998,0.023671,0.0237,2016-06-11 09:05:23,71.956,23.973,211000.0
60,0.02375,0.02364,8981.535015029996,1991.9724256999998,0.023666,0.0237,2016-06-11 09:05:31,845.095,23.973,211000.0
61,0.02375,0.02364,8981.535015029996,1992.9724256999998,0.023666,0.0237,2016-06-11 09:05:39,845.095,23.973,211000.0
62,0.02375,0.02364,9023.750783329995,1992.8724257,0.023666,0.0237,2016-06-11 09:05:47,845.095,23.973,211000.0
63,0.02375,0.02364,9617.065565579996,1982.3124257299999,0.023666,0.0237,2016-06-11 09:05:56,845.095,23.973,211000.0
64,0.02375,0.02364,9421.625855579998,1991.9024257299998,0.023666,0.0237,2016-06-11 09:06:04,845.095,23.973,211000.0
65,0.02375,0.02364,9439.577434519997,1991.9024257299998,0.023666,0.0237,2016-06-11 09:06:13,845.095,23.973,211000.0
66,0.02375,0.02364,9439.577434519997,1991.0044257299996,0.023666,0.0237,2016-06-11 09:06:21,845.095,23.973,211000.0
67,0.02375,0.02364,9439.577434519997,1991.0044257299996,0.023666,0.0237,2016-06-11 09:06:29,837.697,23.973,211000.0
68,0.02375,0.02364,16639.093096350003,1991.0044257299996,0.023666,0.0237,2016-06-11 09:06:37,837.697,23.973,211000.0
69,0.02375,0.02364,16639.19309635,1991.4528796999996,0.023666,0.0237,2016-06-11 09:06:45,837.697,23.973,211000.0
70,0.02375,0.02364,16264.61300946,1991.4528796999996,0.023666,0.023696,2016-06-11 09:06:54,837.697,72.131,211000.0
71,0.02375,0.02364,16001.64847627,1991.4528796999996,0.023666,0.0237,2016-06-11 09:07:02,837.697,23.973,211000.0
72,0.02375,0.02364,16001.70075703,1988.4352650599997,0.023666,0.023696,2016-06-11 09:07:11,837.697,71.964,211000.0
73,0.02375,0.02364,16001.70075703,1993.4744256999998,0.023666,0.0237,2016-06-11 09:07:19,837.697,23.973,211000.0
74,0.02375,0.02364,16001.70075703,1993.4744256999998,0.023666,0.0237,2016-06-11 09:07:27,837.697,23.973,211000.0
75,0.02375,0.02364,16001.70075703,1992.0024256999998,0.023666,0.0237,2016-06-11 09:07:36,837.697,23.973,211000.0
76,0.02375,0.02364,16001.67037247,1989.5293869199998,0.023666,0.0237,2016-06-11 09:07:43,837.697,169.873,211000.0
77,0.02375,0.02364,15848.334322019999,1991.0044257299996,0.023666,0.0237,2016-06-11 09:07:52,837.697,169.873,211000.0
78,0.02375,0.02364,16043.621632020002,2044.9228796999996,0.023666,0.0237,2016-06-11 09:08:00,837.697,92.101,211000.0
79,0.02375,0.02364,16043.652016580001,1991.0044257299996,0.023666,0.0237,2016-06-11 09:08:07,837.697,92.101,211000.0
80,0.02375,0.02364,15848.36470658,1988.9828796999996,0.023666,0.0237,2016-06-11 09:08:16,837.697,92.101,211000.0
81,0.02375,0.02364,15848.334322019999,1972.8704996999995,0.023667,0.0237,2016-06-11 09:08:25,32.23,92.101,211000.0
