obs,btce_ETH_buy,btce_ETH_sell,btce_ETH_depth_bid,btce_ETH_depth_ask,K_bid,k_ask,k_date,k_time,k_bid_vol,k_ask_vol,uc_trans

1,0.02393,0.02377,8459.97215662,6787.02571988,0.023851,0.023899,2016-06-04,17:43:22,30.386,1.16,129931819

2,0.024,0.02378,8426.29361127,6715.65465988,0.023853,0.023899,2016-06-04,17:43:29,72.926,1.16,129931819

3,0.024,0.02377,8247.23327473,6857.77165988,0.023853,0.02391,2016-06-04,17:43:38,72.926,82.2,129931819

4,0.02398,0.02377,8392.62095325,7099.29378879,0.023859,0.023924,2016-06-04,17:43:46,73.106,54.3,129931819

5,0.02395,0.02377,8237.01649906,6995.56678879,0.023865,0.023909,2016-06-04,17:43:55,72.529,19.672,129931819

6,0.02396,0.02377,8236.86586906,6831.46590792,0.023871,0.023909,2016-06-04,17:44:03,72.618,19.672,129931819

7,0.02396,0.02378,8205.24650745,6919.15288379,0.023872,0.02394,2016-06-04,17:44:11,195.576,65.9,129931819

8,0.02395,0.02378,8064.09227922,6919.15288379,0.023877,0.023939,2016-06-04,17:44:20,72.813,52.396,129931819

9,0.02395,0.02379,8156.65606555,6919.15288379,0.023877,0.023937,2016-06-04,17:44:28,72.813,17.38,129931819

10,0.02395,0.02379,8188.65606555,6919.15288379,0.023877,0.023937,2016-06-04,17:44:37,72.813,17.38,129931819

11,0.02395,0.02379,8077.8162887,6919.15288379,0.023877,0.023935,2016-06-04,17:44:45,72.813,17.21,129931819

12,0.02395,0.02379,8077.8162887,6916.27288379,0.023877,0.023933,2016-06-04,17:44:54,72.813,17.21,129931819

13,0.02394,0.02379,8071.4832887,6916.27288379,0.023877,0.023931,2016-06-04,17:45:02,72.813,19.58,129931819

14,0.02394,0.02379,8077.8132887,6916.27288379,0.023877,0.023929,2016-06-04,17:45:10,72.813,19.58,129931819

15,0.02394,0.02379,8077.8132887,6901.77696792,0.023878,0.023929,2016-06-04,17:45:19,175.26,19.58,129931819

16,0.02399,0.02379,8180.47742647,6831.46590792,0.023894,0.023929,2016-06-04,17:45:27,73.151,30.355,129931819

17,0.02398,0.02379,8119.3583627,6903.12288379,0.023877,0.023933,2016-06-04,17:45:36,72.458,30.355,129931819

18,0.02398,0.02379,8361.00588548,6901.77696792,0.023883,0.023947,2016-06-04,17:45:44,72.976,4.6,129931819

19,0.02398,0.02379,8236.81920548,6901.77696792,0.023895,0.023946,2016-06-04,17:45:53,72.99,30.355,129931819

20,0.02398,0.02379,8132.7035017,6901.77696792,0.023895,0.023946,2016-06-04,17:46:02,72.99,30.355,129931819

21,0.02398,0.02379,8140.54597897,6901.77696792,0.023895,0.023948,2016-06-04,17:46:10,72.99,30.355,129931819

22,0.02398,0.02379,8015.11265897,6901.77696792,0.023895,0.023948,2016-06-04,17:46:18,72.99,30.355,129931819

23,0.02398,0.02379,8013.6011817,6901.77696792,0.023895,0.023948,2016-06-04,17:46:26,72.99,30.355,129931819

24,0.02398,0.02379,8131.55077042,6785.05696792,0.023896,0.023948,2016-06-04,17:46:34,160.12,30.355,129931819

25,0.02399,0.02381,7603.80788168,6786.25696792,0.023901,0.023948,2016-06-04,17:46:42,72.641,30.355,129931819

26,0.02399,0.02381,7714.91905799,6786.25696792,0.023902,0.023959,2016-06-04,17:46:50,155.26,30.355,129931819

27,0.02399,0.02381,8180.3166307,6786.25696792,0.02389,0.023959,2016-06-04,17:46:58,110.041,30.355,129931819

28,0.02397,0.02379,8065.08009077,6943.05880076,0.023872,0.023953,2016-06-04,17:47:06,30.386,30.355,129931819

29,0.02397,0.02379,8141.62951733,6943.05880076,0.023877,0.023948,2016-06-04,17:47:15,72.414,72.413,129931819

30,0.02397,0.02379,8080.01761699,6953.33847184,0.023882,0.023947,2016-06-04,17:47:23,72.453,30.355,129931819

31,0.02395,0.02379,8080.01761699,6953.33847184,0.023882,0.023942,2016-06-04,17:47:32,72.453,72.916,129931819

32,0.02395,0.02378,8238.14332077,6953.33847184,0.023882,0.023942,2016-06-04,17:47:40,72.453,72.916,129931819

33,0.024,0.02378,8212.31068109,6953.13847184,0.023882,0.023936,2016-06-04,17:47:48,72.453,72.634,129931819

34,0.02396,0.02379,8065.08009077,6953.33847184,0.023882,0.023936,2016-06-04,17:47:56,72.453,72.634,129931819

35,0.02396,0.0238,8065.08009077,6953.33847184,0.023882,0.023936,2016-06-04,17:48:05,72.453,72.634,129931819

36,0.02396,0.02379,8177.80232077,6953.7187895,0.023882,0.023935,2016-06-04,17:48:13,72.453,30.355,129931819

37,0.02396,0.02379,8184.13232077,6953.7187895,0.023882,0.02394,2016-06-04,17:48:21,72.453,30.355,129931819

38,0.02398,0.0238,8080.01661699,6953.7187895,0.023882,0.02394,2016-06-04,17:48:29,72.453,30.355,129931819

39,0.02398,0.0238,8080.01661699,6953.7187895,0.023882,0.023935,2016-06-04,17:48:37,72.453,14.61,129931819

40,0.02398,0.0238,8080.01661699,6953.7187895,0.023882,0.023934,2016-06-04,17:48:45,72.453,30.355,129931819

41,0.02398,0.0238,8073.68661699,6953.7187895,0.023882,0.023934,2016-06-04,17:48:53,72.453,30.355,129931819

42,0.02398,0.0238,8080.01661699,6953.7187895,0.023882,0.023933,2016-06-04,17:49:01,72.453,30.355,129931819

43,0.02398,0.02381,8080.01661699,6953.7187895,0.023882,0.023933,2016-06-04,17:49:09,72.453,30.355,129931819

44,0.02398,0.02381,8113.06603199,6966.05432596,0.023882,0.023969,2016-06-04,17:49:17,72.205,30.355,129931819

45,0.02398,0.02381,8069.98432888,6959.64265637,0.023882,0.023969,2016-06-04,17:49:25,72.205,30.355,129931819

46,0.02398,0.02381,8067.18614361,6966.03253288,0.023882,0.023969,2016-06-04,17:49:33,72.205,44.964,129931819

47,0.02398,0.02381,8073.51614361,6966.03253288,0.023882,0.023969,2016-06-04,17:49:42,72.205,44.964,129931819

48,0.02398,0.02381,8073.51614361,6966.03253288,0.023882,0.023969,2016-06-04,17:49:50,72.205,41.215,129931819

49,0.02398,0.02381,8072.95414474,6966.04395666,0.023882,0.023969,2016-06-04,17:49:58,72.205,44.964,129931819

50,0.02398,0.0238,8072.95414474,6966.04395666,0.023882,0.023968,2016-06-04,17:50:07,72.205,30.355,129931819

51,0.02398,0.0238,8140.63984852,6966.04395666,0.023882,0.023968,2016-06-04,17:50:15,72.205,30.355,129931819

52,0.02398,0.02381,8073.21941364,6867.31349547,0.023882,0.023977,2016-06-04,17:50:23,72.205,67.3,129931819

53,0.02398,0.02381,8151.78119172,6867.31349547,0.023882,0.023967,2016-06-04,17:50:31,72.205,30.355,129931819

54,0.02398,0.02381,8151.78119172,6867.31349547,0.023882,0.02397,2016-06-04,17:50:39,72.205,65.9,129931819

55,0.02398,0.02381,8151.78119172,6867.31349547,0.023882,0.02397,2016-06-04,17:50:47,72.205,65.9,129931819

56,0.02398,0.02381,8145.45119172,6867.31349547,0.023882,0.023973,2016-06-04,17:50:55,72.205,4.13,129931819

57,0.02398,0.02381,8151.89729845,6867.30519124,0.023882,0.023973,2016-06-04,17:51:03,72.205,22.79,129931819

58,0.02398,0.02381,8151.89729845,6867.30519124,0.023882,0.023973,2016-06-04,17:51:12,72.205,22.79,129931819

59,0.02398,0.02381,8151.89729845,6867.30519124,0.023882,0.023973,2016-06-04,17:51:20,72.205,22.79,129931819

60,0.02398,0.02381,8151.89729845,6867.30519124,0.023882,0.023973,2016-06-04,17:51:29,72.205,22.79,129931819

61,0.02398,0.02381,8151.89729845,6867.30519124,0.023882,0.023972,2016-06-04,17:51:37,72.205,30.355,129931819

62,0.02398,0.02381,8151.89729845,6867.30519124,0.023882,0.02397,2016-06-04,17:51:46,72.205,39.5,129931819

63,0.02398,0.02381,8151.89729845,6867.30519124,0.023882,0.02397,2016-06-04,17:51:53,72.205,61.126,129931819

64,0.02398,0.02381,8151.89729845,6867.30519124,0.023882,0.023969,2016-06-04,17:52:01,72.205,25.204,129931819

65,0.024,0.02381,8145.56729845,6868.30519124,0.023883,0.023969,2016-06-04,17:52:10,31.543,30.355,129931819

66,0.024,0.02382,8047.78159467,6868.30519124,0.023888,0.023963,2016-06-04,17:52:18,72.743,21.626,129931819

67,0.024,0.02382,8047.78159467,6857.12552016,0.023894,0.023968,2016-06-04,17:52:26,72.344,14.237,129931819

68,0.024,0.02382,8047.78159467,6995.30552016,0.0239,0.023968,2016-06-04,17:52:34,50,14.237,129931819

69,0.024,0.02382,7631.24624096,6838.66678945,0.023905,0.023967,2016-06-04,17:52:42,72.547,30.355,129931819

70,0.024,0.02382,7624.91624096,6838.66678945,0.023905,0.023967,2016-06-04,17:52:50,72.547,51.981,129931819

71,0.024,0.02382,7631.24624096,6838.66678945,0.023905,0.023966,2016-06-04,17:53:00,72.547,30.355,129931819

72,0.024,0.02382,7631.24624096,6838.66678945,0.023905,0.023976,2016-06-04,17:53:08,72.547,59.85,129931819

73,0.02399,0.02381,8047.68155467,6837.66678945,0.023905,0.023974,2016-06-04,17:53:16,72.547,49.89,129931819

